year,geography,measure,adjustment,analysis,domain,condition,primary_sex,primary_age,primary_dual,fips,county,state,urban,primary_race,primary_value,primary_eligibility,primary_denominator,comparison_sex,comparison_age,comparison_dual,comparison_race,comparison_eligibility,comparison_value,comparison_denominator,analysis_value
2019,County,Average total cost,Unsmoothed actual,Difference from state/territory average,Primary chronic conditions,"Diabetes",All,All,Dual & non-dual,1001,Autauga County,ALABAMA,Urban,All,13009,Old Age / Survivor's Insurance,"undefined",All,All,Dual & non-dual,All,All,15745,"undefined",-2736
2019,County,Average total cost,Unsmoothed actual,Difference from state/territory average,Primary chronic conditions,"Diabetes",All,All,Dual & non-dual,1003,Baldwin County,ALABAMA,Rural,All,13564,Old Age / Survivor's Insurance,"undefined",All,All,Dual & non-dual,All,All,15745,"undefined",-2181
2019,County,Average total cost,Unsmoothed actual,Difference from state/territory average,Primary chronic conditions,"Diabetes",All,All,Dual & non-dual,1005,Barbour County,ALABAMA,Rural,All,15003,Old Age / Survivor's Insurance,"undefined",All,All,Dual & non-dual,All,All,15745,"undefined",-742
2019,County,Average total cost,Unsmoothed actual,Difference from state/territory average,Primary chronic conditions,"Diabetes",All,All,Dual & non-dual,1007,Bibb County,ALABAMA,Urban,All,13154,Old Age / Survivor's Insurance,"undefined",All,All,Dual & non-dual,All,All,15745,"undefined",-2591
2019,County,Average total cost,Unsmoothed actual,Difference from state/territory average,Primary chronic conditions,"Diabetes",All,All,Dual & non-dual,1009,Blount County,ALABAMA,Urban,All,15566,Old Age / Survivor's Insurance,"undefined",All,All,Dual & non-dual,All,All,15745,"undefined",-179
2019,County,Average total cost,Unsmoothed actual,Difference from state/territory average,Primary chronic conditions,"Diabetes",All,All,Dual & non-dual,1011,Bullock County,ALABAMA,Rural,All,12842,Old Age / Survivor's Insurance,"undefined",All,All,Dual & non-dual,All,All,15745,"undefined",-2903
2019,County,Average total cost,Unsmoothed actual,Difference from state/territory average,Primary chronic conditions,"Diabetes",All,All,Dual & non-dual,1013,Butler County,ALABAMA,Rural,All,11706,Old Age / Survivor's Insurance,"undefined",All,All,Dual & non-dual,All,All,15745,"undefined",-4039
2019,County,Average total cost,Unsmoothed actual,Difference from state/territory average,Primary chronic conditions,"Diabetes",All,All,Dual & non-dual,1015,Calhoun County,ALABAMA,Urban,All,13629,Old Age / Survivor's Insurance,"undefined",All,All,Dual & non-dual,All,All,15745,"undefined",-2116
2019,County,Average total cost,Unsmoothed actual,Difference from state/territory average,Primary chronic conditions,"Diabetes",All,All,Dual & non-dual,1017,Chambers County,ALABAMA,Rural,All,11857,Old Age / Survivor's Insurance,"undefined",All,All,Dual & non-dual,All,All,15745,"undefined",-3888
2019,County,Average total cost,Unsmoothed actual,Difference from state/territory average,Primary chronic conditions,"Diabetes",All,All,Dual & non-dual,1019,Cherokee County,ALABAMA,Rural,All,16238,Old Age / Survivor's Insurance,"undefined",All,All,Dual & non-dual,All,All,15745,"undefined",493
2019,County,Average total cost,Unsmoothed actual,Difference from state/territory average,Primary chronic conditions,"Diabetes",All,All,Dual & non-dual,1021,Chilton County,ALABAMA,Urban,All,12439,Old Age / Survivor's Insurance,"undefined",All,All,Dual & non-dual,All,All,15745,"undefined",-3306
2019,County,Average total cost,Unsmoothed actual,Difference from state/territory average,Primary chronic conditions,"Diabetes",All,All,Dual & non-dual,1023,Choctaw County,ALABAMA,Rural,All,13969,Old Age / Survivor's Insurance,"undefined",All,All,Dual & non-dual,All,All,15745,"undefined",-1776
2019,County,Average total cost,Unsmoothed actual,Difference from state/territory average,Primary chronic conditions,"Diabetes",All,All,Dual & non-dual,1025,Clarke County,ALABAMA,Rural,All,14592,Old Age / Survivor's Insurance,"undefined",All,All,Dual & non-dual,All,All,15745,"undefined",-1153
2019,County,Average total cost,Unsmoothed actual,Difference from state/territory average,Primary chronic conditions,"Diabetes",All,All,Dual & non-dual,1027,Clay County,ALABAMA,Rural,All,12097,Old Age / Survivor's Insurance,"undefined",All,All,Dual & non-dual,All,All,15745,"undefined",-3648
2019,County,Average total cost,Unsmoothed actual,Difference from state/territory average,Primary chronic conditions,"Diabetes",All,All,Dual & non-dual,1029,Cleburne County,ALABAMA,Rural,All,15352,Old Age / Survivor's Insurance,"undefined",All,All,Dual & non-dual,All,All,15745,"undefined",-393
2019,County,Average total cost,Unsmoothed actual,Difference from state/territory average,Primary chronic conditions,"Diabetes",All,All,Dual & non-dual,1031,Coffee County,ALABAMA,Rural,All,12381,Old Age / Survivor's Insurance,"undefined",All,All,Dual & non-dual,All,All,15745,"undefined",-3364
2019,County,Average total cost,Unsmoothed actual,Difference from state/territory average,Primary chronic conditions,"Diabetes",All,All,Dual & non-dual,1033,Colbert County,ALABAMA,Urban,All,12560,Old Age / Survivor's Insurance,"undefined",All,All,Dual & non-dual,All,All,15745,"undefined",-3185
2019,County,Average total cost,Unsmoothed actual,Difference from state/territory average,Primary chronic conditions,"Diabetes",All,All,Dual & non-dual,1035,Conecuh County,ALABAMA,Rural,All,12708,Old Age / Survivor's Insurance,"undefined",All,All,Dual & non-dual,All,All,15745,"undefined",-3037
2019,County,Average total cost,Unsmoothed actual,Difference from state/territory average,Primary chronic conditions,"Diabetes",All,All,Dual & non-dual,1037,Coosa County,ALABAMA,Rural,All,15353,Old Age / Survivor's Insurance,"undefined",All,All,Dual & non-dual,All,All,15745,"undefined",-392
2019,County,Average total cost,Unsmoothed actual,Difference from state/territory average,Primary chronic conditions,"Diabetes",All,All,Dual & non-dual,1039,Covington County,ALABAMA,Rural,All,14720,Old Age / Survivor's Insurance,"undefined",All,All,Dual & non-dual,All,All,15745,"undefined",-1025
2019,County,Average total cost,Unsmoothed actual,Difference from state/territory average,Primary chronic conditions,"Diabetes",All,All,Dual & non-dual,1041,Crenshaw County,ALABAMA,Rural,All,12885,Old Age / Survivor's Insurance,"undefined",All,All,Dual & non-dual,All,All,15745,"undefined",-2860
2019,County,Average total cost,Unsmoothed actual,Difference from state/territory average,Primary chronic conditions,"Diabetes",All,All,Dual & non-dual,1043,Cullman County,ALABAMA,Rural,All,14388,Old Age / Survivor's Insurance,"undefined",All,All,Dual & non-dual,All,All,15745,"undefined",-1357
2019,County,Average total cost,Unsmoothed actual,Difference from state/territory average,Primary chronic conditions,"Diabetes",All,All,Dual & non-dual,1045,Dale County,ALABAMA,Rural,All,14167,Old Age / Survivor's Insurance,"undefined",All,All,Dual & non-dual,All,All,15745,"undefined",-1578
2019,County,Average total cost,Unsmoothed actual,Difference from state/territory average,Primary chronic conditions,"Diabetes",All,All,Dual & non-dual,1047,Dallas County,ALABAMA,Rural,All,15252,Old Age / Survivor's Insurance,"undefined",All,All,Dual & non-dual,All,All,15745,"undefined",-493
2019,County,Average total cost,Unsmoothed actual,Difference from state/territory average,Primary chronic conditions,"Diabetes",All,All,Dual & non-dual,1049,DeKalb County,ALABAMA,Rural,All,12593,Old Age / Survivor's Insurance,"undefined",All,All,Dual & non-dual,All,All,15745,"undefined",-3152
2019,County,Average total cost,Unsmoothed actual,Difference from state/territory average,Primary chronic conditions,"Diabetes",All,All,Dual & non-dual,1051,Elmore County,ALABAMA,Urban,All,13009,Old Age / Survivor's Insurance,"undefined",All,All,Dual & non-dual,All,All,15745,"undefined",-2736
2019,County,Average total cost,Unsmoothed actual,Difference from state/territory average,Primary chronic conditions,"Diabetes",All,All,Dual & non-dual,1053,Escambia County,ALABAMA,Rural,All,14292,Old Age / Survivor's Insurance,"undefined",All,All,Dual & non-dual,All,All,15745,"undefined",-1453
2019,County,Average total cost,Unsmoothed actual,Difference from state/territory average,Primary chronic conditions,"Diabetes",All,All,Dual & non-dual,1055,Etowah County,ALABAMA,Urban,All,16010,Old Age / Survivor's Insurance,"undefined",All,All,Dual & non-dual,All,All,15745,"undefined",265
2019,County,Average total cost,Unsmoothed actual,Difference from state/territory average,Primary chronic conditions,"Diabetes",All,All,Dual & non-dual,1057,Fayette County,ALABAMA,Rural,All,13003,Old Age / Survivor's Insurance,"undefined",All,All,Dual & non-dual,All,All,15745,"undefined",-2742
2019,County,Average total cost,Unsmoothed actual,Difference from state/territory average,Primary chronic conditions,"Diabetes",All,All,Dual & non-dual,1059,Franklin County,ALABAMA,Rural,All,12899,Old Age / Survivor's Insurance,"undefined",All,All,Dual & non-dual,All,All,15745,"undefined",-2846
2019,County,Average total cost,Unsmoothed actual,Difference from state/territory average,Primary chronic conditions,"Diabetes",All,All,Dual & non-dual,1061,Geneva County,ALABAMA,Urban,All,12512,Old Age / Survivor's Insurance,"undefined",All,All,Dual & non-dual,All,All,15745,"undefined",-3233
2019,County,Average total cost,Unsmoothed actual,Difference from state/territory average,Primary chronic conditions,"Diabetes",All,All,Dual & non-dual,1063,Greene County,ALABAMA,Urban,All,15499,Old Age / Survivor's Insurance,"undefined",All,All,Dual & non-dual,All,All,15745,"undefined",-246
2019,County,Average total cost,Unsmoothed actual,Difference from state/territory average,Primary chronic conditions,"Diabetes",All,All,Dual & non-dual,1065,Hale County,ALABAMA,Urban,All,16595,Old Age / Survivor's Insurance,"undefined",All,All,Dual & non-dual,All,All,15745,"undefined",850
2019,County,Average total cost,Unsmoothed actual,Difference from state/territory average,Primary chronic conditions,"Diabetes",All,All,Dual & non-dual,1067,Henry County,ALABAMA,Urban,All,9972,Old Age / Survivor's Insurance,"undefined",All,All,Dual & non-dual,All,All,15745,"undefined",-5773
2019,County,Average total cost,Unsmoothed actual,Difference from state/territory average,Primary chronic conditions,"Diabetes",All,All,Dual & non-dual,1069,Houston County,ALABAMA,Urban,All,13387,Old Age / Survivor's Insurance,"undefined",All,All,Dual & non-dual,All,All,15745,"undefined",-2358
2019,County,Average total cost,Unsmoothed actual,Difference from state/territory average,Primary chronic conditions,"Diabetes",All,All,Dual & non-dual,1071,Jackson County,ALABAMA,Rural,All,13386,Old Age / Survivor's Insurance,"undefined",All,All,Dual & non-dual,All,All,15745,"undefined",-2359
2019,County,Average total cost,Unsmoothed actual,Difference from state/territory average,Primary chronic conditions,"Diabetes",All,All,Dual & non-dual,1073,Jefferson County,ALABAMA,Urban,All,14913,Old Age / Survivor's Insurance,"undefined",All,All,Dual & non-dual,All,All,15745,"undefined",-832
2019,County,Average total cost,Unsmoothed actual,Difference from state/territory average,Primary chronic conditions,"Diabetes",All,All,Dual & non-dual,1075,Lamar County,ALABAMA,Rural,All,14155,Old Age / Survivor's Insurance,"undefined",All,All,Dual & non-dual,All,All,15745,"undefined",-1590
2019,County,Average total cost,Unsmoothed actual,Difference from state/territory average,Primary chronic conditions,"Diabetes",All,All,Dual & non-dual,1077,Lauderdale County,ALABAMA,Urban,All,11330,Old Age / Survivor's Insurance,"undefined",All,All,Dual & non-dual,All,All,15745,"undefined",-4415
2019,County,Average total cost,Unsmoothed actual,Difference from state/territory average,Primary chronic conditions,"Diabetes",All,All,Dual & non-dual,1079,Lawrence County,ALABAMA,Urban,All,11674,Old Age / Survivor's Insurance,"undefined",All,All,Dual & non-dual,All,All,15745,"undefined",-4071
2019,County,Average total cost,Unsmoothed actual,Difference from state/territory average,Primary chronic conditions,"Diabetes",All,All,Dual & non-dual,1081,Lee County,ALABAMA,Urban,All,12253,Old Age / Survivor's Insurance,"undefined",All,All,Dual & non-dual,All,All,15745,"undefined",-3492
2019,County,Average total cost,Unsmoothed actual,Difference from state/territory average,Primary chronic conditions,"Diabetes",All,All,Dual & non-dual,1083,Limestone County,ALABAMA,Urban,All,13352,Old Age / Survivor's Insurance,"undefined",All,All,Dual & non-dual,All,All,15745,"undefined",-2393
2019,County,Average total cost,Unsmoothed actual,Difference from state/territory average,Primary chronic conditions,"Diabetes",All,All,Dual & non-dual,1085,Lowndes County,ALABAMA,Urban,All,11383,Old Age / Survivor's Insurance,"undefined",All,All,Dual & non-dual,All,All,15745,"undefined",-4362
2019,County,Average total cost,Unsmoothed actual,Difference from state/territory average,Primary chronic conditions,"Diabetes",All,All,Dual & non-dual,1087,Macon County,ALABAMA,Rural,All,12174,Old Age / Survivor's Insurance,"undefined",All,All,Dual & non-dual,All,All,15745,"undefined",-3571
2019,County,Average total cost,Unsmoothed actual,Difference from state/territory average,Primary chronic conditions,"Diabetes",All,All,Dual & non-dual,1089,Madison County,ALABAMA,Urban,All,12449,Old Age / Survivor's Insurance,"undefined",All,All,Dual & non-dual,All,All,15745,"undefined",-3296
2019,County,Average total cost,Unsmoothed actual,Difference from state/territory average,Primary chronic conditions,"Diabetes",All,All,Dual & non-dual,1091,Marengo County,ALABAMA,Rural,All,14078,Old Age / Survivor's Insurance,"undefined",All,All,Dual & non-dual,All,All,15745,"undefined",-1667
2019,County,Average total cost,Unsmoothed actual,Difference from state/territory average,Primary chronic conditions,"Diabetes",All,All,Dual & non-dual,1093,Marion County,ALABAMA,Rural,All,13430,Old Age / Survivor's Insurance,"undefined",All,All,Dual & non-dual,All,All,15745,"undefined",-2315
2019,County,Average total cost,Unsmoothed actual,Difference from state/territory average,Primary chronic conditions,"Diabetes",All,All,Dual & non-dual,1095,Marshall County,ALABAMA,Rural,All,13556,Old Age / Survivor's Insurance,"undefined",All,All,Dual & non-dual,All,All,15745,"undefined",-2189
2019,County,Average total cost,Unsmoothed actual,Difference from state/territory average,Primary chronic conditions,"Diabetes",All,All,Dual & non-dual,1097,Mobile County,ALABAMA,Urban,All,13979,Old Age / Survivor's Insurance,"undefined",All,All,Dual & non-dual,All,All,15745,"undefined",-1766
2019,County,Average total cost,Unsmoothed actual,Difference from state/territory average,Primary chronic conditions,"Diabetes",All,All,Dual & non-dual,1099,Monroe County,ALABAMA,Rural,All,13737,Old Age / Survivor's Insurance,"undefined",All,All,Dual & non-dual,All,All,15745,"undefined",-2008
2019,County,Average total cost,Unsmoothed actual,Difference from state/territory average,Primary chronic conditions,"Diabetes",All,All,Dual & non-dual,1101,Montgomery County,ALABAMA,Urban,All,13067,Old Age / Survivor's Insurance,"undefined",All,All,Dual & non-dual,All,All,15745,"undefined",-2678
2019,County,Average total cost,Unsmoothed actual,Difference from state/territory average,Primary chronic conditions,"Diabetes",All,All,Dual & non-dual,1103,Morgan County,ALABAMA,Urban,All,12303,Old Age / Survivor's Insurance,"undefined",All,All,Dual & non-dual,All,All,15745,"undefined",-3442
2019,County,Average total cost,Unsmoothed actual,Difference from state/territory average,Primary chronic conditions,"Diabetes",All,All,Dual & non-dual,1105,Perry County,ALABAMA,Rural,All,13310,Old Age / Survivor's Insurance,"undefined",All,All,Dual & non-dual,All,All,15745,"undefined",-2435
2019,County,Average total cost,Unsmoothed actual,Difference from state/territory average,Primary chronic conditions,"Diabetes",All,All,Dual & non-dual,1107,Pickens County,ALABAMA,Rural,All,15053,Old Age / Survivor's Insurance,"undefined",All,All,Dual & non-dual,All,All,15745,"undefined",-692
2019,County,Average total cost,Unsmoothed actual,Difference from state/territory average,Primary chronic conditions,"Diabetes",All,All,Dual & non-dual,1109,Pike County,ALABAMA,Rural,All,12582,Old Age / Survivor's Insurance,"undefined",All,All,Dual & non-dual,All,All,15745,"undefined",-3163
2019,County,Average total cost,Unsmoothed actual,Difference from state/territory average,Primary chronic conditions,"Diabetes",All,All,Dual & non-dual,1111,Randolph County,ALABAMA,Rural,All,12432,Old Age / Survivor's Insurance,"undefined",All,All,Dual & non-dual,All,All,15745,"undefined",-3313
2019,County,Average total cost,Unsmoothed actual,Difference from state/territory average,Primary chronic conditions,"Diabetes",All,All,Dual & non-dual,1113,Russell County,ALABAMA,Urban,All,13234,Old Age / Survivor's Insurance,"undefined",All,All,Dual & non-dual,All,All,15745,"undefined",-2511
2019,County,Average total cost,Unsmoothed actual,Difference from state/territory average,Primary chronic conditions,"Diabetes",All,All,Dual & non-dual,1115,St. Clair County,ALABAMA,Urban,All,14983,Old Age / Survivor's Insurance,"undefined",All,All,Dual & non-dual,All,All,15745,"undefined",-762
2019,County,Average total cost,Unsmoothed actual,Difference from state/territory average,Primary chronic conditions,"Diabetes",All,All,Dual & non-dual,1117,Shelby County,ALABAMA,Urban,All,14809,Old Age / Survivor's Insurance,"undefined",All,All,Dual & non-dual,All,All,15745,"undefined",-936
2019,County,Average total cost,Unsmoothed actual,Difference from state/territory average,Primary chronic conditions,"Diabetes",All,All,Dual & non-dual,1119,Sumter County,ALABAMA,Rural,All,15276,Old Age / Survivor's Insurance,"undefined",All,All,Dual & non-dual,All,All,15745,"undefined",-469
2019,County,Average total cost,Unsmoothed actual,Difference from state/territory average,Primary chronic conditions,"Diabetes",All,All,Dual & non-dual,1121,Talladega County,ALABAMA,Rural,All,14851,Old Age / Survivor's Insurance,"undefined",All,All,Dual & non-dual,All,All,15745,"undefined",-894
2019,County,Average total cost,Unsmoothed actual,Difference from state/territory average,Primary chronic conditions,"Diabetes",All,All,Dual & non-dual,1123,Tallapoosa County,ALABAMA,Rural,All,14757,Old Age / Survivor's Insurance,"undefined",All,All,Dual & non-dual,All,All,15745,"undefined",-988
2019,County,Average total cost,Unsmoothed actual,Difference from state/territory average,Primary chronic conditions,"Diabetes",All,All,Dual & non-dual,1125,Tuscaloosa County,ALABAMA,Urban,All,15051,Old Age / Survivor's Insurance,"undefined",All,All,Dual & non-dual,All,All,15745,"undefined",-694
2019,County,Average total cost,Unsmoothed actual,Difference from state/territory average,Primary chronic conditions,"Diabetes",All,All,Dual & non-dual,1127,Walker County,ALABAMA,Urban,All,13050,Old Age / Survivor's Insurance,"undefined",All,All,Dual & non-dual,All,All,15745,"undefined",-2695
2019,County,Average total cost,Unsmoothed actual,Difference from state/territory average,Primary chronic conditions,"Diabetes",All,All,Dual & non-dual,1129,Washington County,ALABAMA,Rural,All,16908,Old Age / Survivor's Insurance,"undefined",All,All,Dual & non-dual,All,All,15745,"undefined",1163
2019,County,Average total cost,Unsmoothed actual,Difference from state/territory average,Primary chronic conditions,"Diabetes",All,All,Dual & non-dual,1131,Wilcox County,ALABAMA,Rural,All,14365,Old Age / Survivor's Insurance,"undefined",All,All,Dual & non-dual,All,All,15745,"undefined",-1380
2019,County,Average total cost,Unsmoothed actual,Difference from state/territory average,Primary chronic conditions,"Diabetes",All,All,Dual & non-dual,1133,Winston County,ALABAMA,Rural,All,13637,Old Age / Survivor's Insurance,"undefined",All,All,Dual & non-dual,All,All,15745,"undefined",-2108
2019,County,Average total cost,Unsmoothed actual,Difference from state/territory average,Primary chronic conditions,"Diabetes",All,All,Dual & non-dual,2020,Anchorage Municipality,ALASKA,Urban,All,13941,Old Age / Survivor's Insurance,"undefined",All,All,Dual & non-dual,All,All,17512,"undefined",-3571
2019,County,Average total cost,Unsmoothed actual,Difference from state/territory average,Primary chronic conditions,"Diabetes",All,All,Dual & non-dual,2050,Bethel Census Area,ALASKA,Rural,All,17457,Old Age / Survivor's Insurance,"undefined",All,All,Dual & non-dual,All,All,17512,"undefined",-55
