year,geography,measure,adjustment,analysis,domain,condition,primary_sex,primary_age,primary_dual,fips,county,state,urban,primary_race,primary_value,primary_eligibility,primary_denominator,comparison_sex,comparison_age,comparison_dual,comparison_race,comparison_eligibility,comparison_value,comparison_denominator,analysis_value
2019,County,Average total cost,Unsmoothed actual,Difference from state/territory average,Primary chronic conditions,Diabetes,All,All,Dual & non-dual,1001,Autauga County,ALABAMA,Urban,Black,9676,Old Age / Survivor's Insurance,undefined,All,All,Dual & non-dual,All,All,15745,undefined,-6069
2019,County,Average total cost,Unsmoothed actual,Difference from state/territory average,Primary chronic conditions,Diabetes,All,All,Dual & non-dual,1003,Baldwin County,ALABAMA,Rural,Black,16448,Old Age / Survivor's Insurance,undefined,All,All,Dual & non-dual,All,All,15745,undefined,703
2019,County,Average total cost,Unsmoothed actual,Difference from state/territory average,Primary chronic conditions,Diabetes,All,All,Dual & non-dual,1005,Barbour County,ALABAMA,Rural,Black,13191,Old Age / Survivor's Insurance,undefined,All,All,Dual & non-dual,All,All,15745,undefined,-2554
2019,County,Average total cost,Unsmoothed actual,Difference from state/territory average,Primary chronic conditions,Diabetes,All,All,Dual & non-dual,1007,Bibb County,ALABAMA,Urban,Black,8507,Old Age / Survivor's Insurance,undefined,All,All,Dual & non-dual,All,All,15745,undefined,-7238
2019,County,Average total cost,Unsmoothed actual,Difference from state/territory average,Primary chronic conditions,Diabetes,All,All,Dual & non-dual,1011,Bullock County,ALABAMA,Rural,Black,9740,Old Age / Survivor's Insurance,undefined,All,All,Dual & non-dual,All,All,15745,undefined,-6005
2019,County,Average total cost,Unsmoothed actual,Difference from state/territory average,Primary chronic conditions,Diabetes,All,All,Dual & non-dual,1013,Butler County,ALABAMA,Rural,Black,11960,Old Age / Survivor's Insurance,undefined,All,All,Dual & non-dual,All,All,15745,undefined,-3785
2019,County,Average total cost,Unsmoothed actual,Difference from state/territory average,Primary chronic conditions,Diabetes,All,All,Dual & non-dual,1015,Calhoun County,ALABAMA,Urban,Black,12130,Old Age / Survivor's Insurance,undefined,All,All,Dual & non-dual,All,All,15745,undefined,-3615
2019,County,Average total cost,Unsmoothed actual,Difference from state/territory average,Primary chronic conditions,Diabetes,All,All,Dual & non-dual,1017,Chambers County,ALABAMA,Rural,Black,12722,Old Age / Survivor's Insurance,undefined,All,All,Dual & non-dual,All,All,15745,undefined,-3023
2019,County,Average total cost,Unsmoothed actual,Difference from state/territory average,Primary chronic conditions,Diabetes,All,All,Dual & non-dual,1019,Cherokee County,ALABAMA,Rural,Black,11157,Old Age / Survivor's Insurance,undefined,All,All,Dual & non-dual,All,All,15745,undefined,-4588
2019,County,Average total cost,Unsmoothed actual,Difference from state/territory average,Primary chronic conditions,Diabetes,All,All,Dual & non-dual,1021,Chilton County,ALABAMA,Urban,Black,10611,Old Age / Survivor's Insurance,undefined,All,All,Dual & non-dual,All,All,15745,undefined,-5134
2019,County,Average total cost,Unsmoothed actual,Difference from state/territory average,Primary chronic conditions,Diabetes,All,All,Dual & non-dual,1023,Choctaw County,ALABAMA,Rural,Black,14638,Old Age / Survivor's Insurance,undefined,All,All,Dual & non-dual,All,All,15745,undefined,-1107
2019,County,Average total cost,Unsmoothed actual,Difference from state/territory average,Primary chronic conditions,Diabetes,All,All,Dual & non-dual,1025,Clarke County,ALABAMA,Rural,Black,14401,Old Age / Survivor's Insurance,undefined,All,All,Dual & non-dual,All,All,15745,undefined,-1344
2019,County,Average total cost,Unsmoothed actual,Difference from state/territory average,Primary chronic conditions,Diabetes,All,All,Dual & non-dual,1027,Clay County,ALABAMA,Rural,Black,16793,Old Age / Survivor's Insurance,undefined,All,All,Dual & non-dual,All,All,15745,undefined,1048
2019,County,Average total cost,Unsmoothed actual,Difference from state/territory average,Primary chronic conditions,Diabetes,All,All,Dual & non-dual,1029,Cleburne County,ALABAMA,Rural,Black,28364,Old Age / Survivor's Insurance,undefined,All,All,Dual & non-dual,All,All,15745,undefined,12619
2019,County,Average total cost,Unsmoothed actual,Difference from state/territory average,Primary chronic conditions,Diabetes,All,All,Dual & non-dual,1031,Coffee County,ALABAMA,Rural,Black,11808,Old Age / Survivor's Insurance,undefined,All,All,Dual & non-dual,All,All,15745,undefined,-3937
2019,County,Average total cost,Unsmoothed actual,Difference from state/territory average,Primary chronic conditions,Diabetes,All,All,Dual & non-dual,1033,Colbert County,ALABAMA,Urban,Black,12961,Old Age / Survivor's Insurance,undefined,All,All,Dual & non-dual,All,All,15745,undefined,-2784
2019,County,Average total cost,Unsmoothed actual,Difference from state/territory average,Primary chronic conditions,Diabetes,All,All,Dual & non-dual,1035,Conecuh County,ALABAMA,Rural,Black,12789,Old Age / Survivor's Insurance,undefined,All,All,Dual & non-dual,All,All,15745,undefined,-2956
2019,County,Average total cost,Unsmoothed actual,Difference from state/territory average,Primary chronic conditions,Diabetes,All,All,Dual & non-dual,1037,Coosa County,ALABAMA,Rural,Black,10480,Old Age / Survivor's Insurance,undefined,All,All,Dual & non-dual,All,All,15745,undefined,-5265
2019,County,Average total cost,Unsmoothed actual,Difference from state/territory average,Primary chronic conditions,Diabetes,All,All,Dual & non-dual,1039,Covington County,ALABAMA,Rural,Black,15805,Old Age / Survivor's Insurance,undefined,All,All,Dual & non-dual,All,All,15745,undefined,60
2019,County,Average total cost,Unsmoothed actual,Difference from state/territory average,Primary chronic conditions,Diabetes,All,All,Dual & non-dual,1041,Crenshaw County,ALABAMA,Rural,Black,8487,Old Age / Survivor's Insurance,undefined,All,All,Dual & non-dual,All,All,15745,undefined,-7258
2019,County,Average total cost,Unsmoothed actual,Difference from state/territory average,Primary chronic conditions,Diabetes,All,All,Dual & non-dual,1045,Dale County,ALABAMA,Rural,Black,11964,Old Age / Survivor's Insurance,undefined,All,All,Dual & non-dual,All,All,15745,undefined,-3781
2019,County,Average total cost,Unsmoothed actual,Difference from state/territory average,Primary chronic conditions,Diabetes,All,All,Dual & non-dual,1047,Dallas County,ALABAMA,Rural,Black,17653,Old Age / Survivor's Insurance,undefined,All,All,Dual & non-dual,All,All,15745,undefined,1908
2019,County,Average total cost,Unsmoothed actual,Difference from state/territory average,Primary chronic conditions,Diabetes,All,All,Dual & non-dual,1049,DeKalb County,ALABAMA,Rural,Black,10889,Old Age / Survivor's Insurance,undefined,All,All,Dual & non-dual,All,All,15745,undefined,-4856
2019,County,Average total cost,Unsmoothed actual,Difference from state/territory average,Primary chronic conditions,Diabetes,All,All,Dual & non-dual,1051,Elmore County,ALABAMA,Urban,Black,14120,Old Age / Survivor's Insurance,undefined,All,All,Dual & non-dual,All,All,15745,undefined,-1625
2019,County,Average total cost,Unsmoothed actual,Difference from state/territory average,Primary chronic conditions,Diabetes,All,All,Dual & non-dual,1053,Escambia County,ALABAMA,Rural,Black,14193,Old Age / Survivor's Insurance,undefined,All,All,Dual & non-dual,All,All,15745,undefined,-1552
2019,County,Average total cost,Unsmoothed actual,Difference from state/territory average,Primary chronic conditions,Diabetes,All,All,Dual & non-dual,1055,Etowah County,ALABAMA,Urban,Black,19186,Old Age / Survivor's Insurance,undefined,All,All,Dual & non-dual,All,All,15745,undefined,3441
2019,County,Average total cost,Unsmoothed actual,Difference from state/territory average,Primary chronic conditions,Diabetes,All,All,Dual & non-dual,1057,Fayette County,ALABAMA,Rural,Black,8771,Old Age / Survivor's Insurance,undefined,All,All,Dual & non-dual,All,All,15745,undefined,-6974
2019,County,Average total cost,Unsmoothed actual,Difference from state/territory average,Primary chronic conditions,Diabetes,All,All,Dual & non-dual,1059,Franklin County,ALABAMA,Rural,Black,11974,Old Age / Survivor's Insurance,undefined,All,All,Dual & non-dual,All,All,15745,undefined,-3771
2019,County,Average total cost,Unsmoothed actual,Difference from state/territory average,Primary chronic conditions,Diabetes,All,All,Dual & non-dual,1061,Geneva County,ALABAMA,Urban,Black,9353,Old Age / Survivor's Insurance,undefined,All,All,Dual & non-dual,All,All,15745,undefined,-6392
2019,County,Average total cost,Unsmoothed actual,Difference from state/territory average,Primary chronic conditions,Diabetes,All,All,Dual & non-dual,1063,Greene County,ALABAMA,Urban,Black,15819,Old Age / Survivor's Insurance,undefined,All,All,Dual & non-dual,All,All,15745,undefined,74
2019,County,Average total cost,Unsmoothed actual,Difference from state/territory average,Primary chronic conditions,Diabetes,All,All,Dual & non-dual,1065,Hale County,ALABAMA,Urban,Black,17373,Old Age / Survivor's Insurance,undefined,All,All,Dual & non-dual,All,All,15745,undefined,1628
2019,County,Average total cost,Unsmoothed actual,Difference from state/territory average,Primary chronic conditions,Diabetes,All,All,Dual & non-dual,1067,Henry County,ALABAMA,Urban,Black,7245,Old Age / Survivor's Insurance,undefined,All,All,Dual & non-dual,All,All,15745,undefined,-8500
2019,County,Average total cost,Unsmoothed actual,Difference from state/territory average,Primary chronic conditions,Diabetes,All,All,Dual & non-dual,1069,Houston County,ALABAMA,Urban,Black,15780,Old Age / Survivor's Insurance,undefined,All,All,Dual & non-dual,All,All,15745,undefined,35
2019,County,Average total cost,Unsmoothed actual,Difference from state/territory average,Primary chronic conditions,Diabetes,All,All,Dual & non-dual,1071,Jackson County,ALABAMA,Rural,Black,14026,Old Age / Survivor's Insurance,undefined,All,All,Dual & non-dual,All,All,15745,undefined,-1719
2019,County,Average total cost,Unsmoothed actual,Difference from state/territory average,Primary chronic conditions,Diabetes,All,All,Dual & non-dual,1073,Jefferson County,ALABAMA,Urban,Black,14715,Old Age / Survivor's Insurance,undefined,All,All,Dual & non-dual,All,All,15745,undefined,-1030
2019,County,Average total cost,Unsmoothed actual,Difference from state/territory average,Primary chronic conditions,Diabetes,All,All,Dual & non-dual,1075,Lamar County,ALABAMA,Rural,Black,13955,Old Age / Survivor's Insurance,undefined,All,All,Dual & non-dual,All,All,15745,undefined,-1790
2019,County,Average total cost,Unsmoothed actual,Difference from state/territory average,Primary chronic conditions,Diabetes,All,All,Dual & non-dual,1077,Lauderdale County,ALABAMA,Urban,Black,8581,Old Age / Survivor's Insurance,undefined,All,All,Dual & non-dual,All,All,15745,undefined,-7164
