year,geography,measure,adjustment,analysis,domain,condition,primary_sex,primary_age,primary_dual,fips,county,state,urban,primary_race,primary_value,primary_eligibility,primary_denominator,comparison_sex,comparison_age,comparison_dual,comparison_race,comparison_eligibility,comparison_value,comparison_denominator,analysis_value
2019,County,Average total cost,Unsmoothed actual,Difference from state/territory average,Primary chronic conditions,Diabetes,All,All,Dual & non-dual,1001,Autauga County,ALABAMA,Urban,White,13650,Old Age / Survivor's Insurance,undefined,All,All,Dual & non-dual,All,All,15745,undefined,-2095
2019,County,Average total cost,Unsmoothed actual,Difference from state/territory average,Primary chronic conditions,Diabetes,All,All,Dual & non-dual,1003,Baldwin County,ALABAMA,Rural,White,13485,Old Age / Survivor's Insurance,undefined,All,All,Dual & non-dual,All,All,15745,undefined,-2260
2019,County,Average total cost,Unsmoothed actual,Difference from state/territory average,Primary chronic conditions,Diabetes,All,All,Dual & non-dual,1005,Barbour County,ALABAMA,Rural,White,15765,Old Age / Survivor's Insurance,undefined,All,All,Dual & non-dual,All,All,15745,undefined,20
2019,County,Average total cost,Unsmoothed actual,Difference from state/territory average,Primary chronic conditions,Diabetes,All,All,Dual & non-dual,1007,Bibb County,ALABAMA,Urban,White,13585,Old Age / Survivor's Insurance,undefined,All,All,Dual & non-dual,All,All,15745,undefined,-2160
2019,County,Average total cost,Unsmoothed actual,Difference from state/territory average,Primary chronic conditions,Diabetes,All,All,Dual & non-dual,1009,Blount County,ALABAMA,Urban,White,15891,Old Age / Survivor's Insurance,undefined,All,All,Dual & non-dual,All,All,15745,undefined,146
2019,County,Average total cost,Unsmoothed actual,Difference from state/territory average,Primary chronic conditions,Diabetes,All,All,Dual & non-dual,1011,Bullock County,ALABAMA,Rural,White,17398,Old Age / Survivor's Insurance,undefined,All,All,Dual & non-dual,All,All,15745,undefined,1653
2019,County,Average total cost,Unsmoothed actual,Difference from state/territory average,Primary chronic conditions,Diabetes,All,All,Dual & non-dual,1013,Butler County,ALABAMA,Rural,White,11647,Old Age / Survivor's Insurance,undefined,All,All,Dual & non-dual,All,All,15745,undefined,-4098
2019,County,Average total cost,Unsmoothed actual,Difference from state/territory average,Primary chronic conditions,Diabetes,All,All,Dual & non-dual,1015,Calhoun County,ALABAMA,Urban,White,13922,Old Age / Survivor's Insurance,undefined,All,All,Dual & non-dual,All,All,15745,undefined,-1823
2019,County,Average total cost,Unsmoothed actual,Difference from state/territory average,Primary chronic conditions,Diabetes,All,All,Dual & non-dual,1017,Chambers County,ALABAMA,Rural,White,11611,Old Age / Survivor's Insurance,undefined,All,All,Dual & non-dual,All,All,15745,undefined,-4134
2019,County,Average total cost,Unsmoothed actual,Difference from state/territory average,Primary chronic conditions,Diabetes,All,All,Dual & non-dual,1019,Cherokee County,ALABAMA,Rural,White,16473,Old Age / Survivor's Insurance,undefined,All,All,Dual & non-dual,All,All,15745,undefined,728
2019,County,Average total cost,Unsmoothed actual,Difference from state/territory average,Primary chronic conditions,Diabetes,All,All,Dual & non-dual,1021,Chilton County,ALABAMA,Urban,White,12693,Old Age / Survivor's Insurance,undefined,All,All,Dual & non-dual,All,All,15745,undefined,-3052
